"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Russian Federation","RUS","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9099998474121","54.0499992370605","58.1599998474121","56.4700012207031","55.3300018310547","54.6399993896484","50.6199989318848","45.8600006103516","43.2000007629395","49.3300018310547","47.4900016784668","44.9199981689453","44.3800010681152","42.9000015258789","43.2099990844727","42.689998626709","42.6699981689453","43.2299995422363","46.6699981689453","46.310001373291","45.7900009155273","45.7700004577637","43.6300010681152","43.7099990844727","42.2900009155273","41.2799987792969","41.1100006103516","38.4700012207031","36.4900016784668","35.5499992370605","",
"Russian Federation","RUS","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6300010681152","44.6399993896484","43.6800003051758","41.6699981689453","39.810001373291","38.4799995422363","36.1800003051758","35.0800018310547","35.3699989318848","35.7700004577637","36.7099990844727","37.0400009155273","37.9700012207031","37.7599983215332","37.560001373291","37.5200004577637","38","38.1699981689453","36.9500007629395","37.4700012207031","37.4599990844727","38.1300010681152","38.189998626709","38.1100006103516","37.8899993896484","37.4199981689453","37.5099983215332","37.2799987792969","37.5299987792969","",
"Russian Federation","RUS","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.0800018310547","64.3399963378906","60.5099983215332","58.9900016784668","57.7200012207031","54.9000015258789","53.0299987792969","56.7700004577637","58.5400009155273","58.439998626709","59.7599983215332","59.3800010681152","60.3300018310547","61.2799987792969","61.6599998474121","63.060001373291","63.25","62.0200004577637","62.7000007629395","63.8800010681152","64.9100036621094","64.7699966430664","65.3300018310547","65.2900009155273","65.6800003051758","59.4900016784668","59.8199996948242","59.4199981689453","",
"Russian Federation","RUS","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7900009155273","44.4700012207031","41.810001373291","38.4799995422363","36.9799995422363","34.5099983215332","30.3199996948242","27","30.0699996948242","30.8600006103516","29.6599998474121","30.9500007629395","29.2900009155273","29.0599994659424","29.9400005340576","29.7600002288818","31.2000007629395","32.189998626709","31.5200004577637","30.6399993896484","31.1100006103516","29.6299991607666","29.9500007629395","28.7999992370605","27.4699993133545","26.8500003814697","25.3799991607666","24.3400001525879","24.2099990844727","",
"Russian Federation","RUS","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","24.6","20.3","17.6","17.8","15.2","13.3","13.4","13","12.5","12.7","10.7","10.8","11.2","13.3","13.3","13.2","12.6","","",
"Russian Federation","RUS","Proportion of people living below 50 percent of median income (%)","SI.DST.50MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","","","20.7","15.1","15.5","15.5","15.1","14","13.4","15","15.4","15.2","15.5","15.1","14","13.3","13.2","12.9","12.7","12.5","12","11.6","11.8","11.3","10.8","","",
"Russian Federation","RUS","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.35673141","58.04123306","58.29951859","58.09910965","58.76708603","61.14411926","61.72977829","62.05422974","62.62738037","62.06686401","61.37907028","62.6505928","63.70746613","62.38064194","61.7865448","58.71852493","56.95004272","57.08874893","59.45658112","","",
"Russian Federation","RUS","Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208171308040619","","","","0.128130465745926","0.149940252304077","0.294774770736694","0.230043530464172","0.109308809041977","0.0746046006679535","0.0779184699058533","0.0683827698230743","","","","","","0.0112862512469292","0.0558532699942589","0.0158642679452896","0.0314745754003525","0.00628575775772333","","","","","","",
"Russian Federation","RUS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.6","","","","","51.6","","","","","40","","","","","32.1","31","","","","",
"Russian Federation","RUS","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","SH.STA.ORCF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
